施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
高橋レディスクリニック,092010,栃木県,宇都宮市,36.565968,139.889893,028-624-0130,www.takahashi-lc.or.jp,３２０－００２１,栃木県宇都宮市東塙田１－５－１,有,"平日9:00-12:00、15:00-17:00
土9:00-12:00、15:00-16:00",有
宇都宮中央クリニック,092010,栃木県,宇都宮市,36.558975,139.882141,028-636-1121,www.centralclinic.or.jp,３２０－０８０６,栃木県宇都宮市中央１－７－１,有,"平日・土曜
10:00-12:00、15:00-18:00",有
平尾産婦人科医院,092010,栃木県,宇都宮市,36.563477,139.849442,028-648-5222,www.hirao.jp,３２０－０８５７,栃木県宇都宮市鶴田３－１－４,有,"月水金8:30-12:00、14:00-17:30
水土8:30-12:00、木14:00-17:30",有
かわつクリニック,092010,栃木県,宇都宮市,36.557476,139.874039,028-639-1118,kawatsu-cl.jp/,３２０－０８６７,栃木県宇都宮市大寛２－２－２６,有,"月火水金9:00-12:30、15:00-18:00
木土9:00-12:30",有
うえの医院,092010,栃木県,宇都宮市,36.5588,139.874191,028-636-8707,www.uenoiin.net,３２０－０８６７,栃木県宇都宮市大寛２－５－７,有,"月火木9:30-12:30、14:30-18:30
金9:30-12:30 土9:30-12:30、14:30-
17:30",有
アルテミス宇都宮クリニック,092010,栃木県,宇都宮市,36.490681,139.90419,028-655-5600,www.auc.med-apple.co.jp,３２１－０１１８,栃木県宇都宮市インターパーク５－１－９,有,"平日9:00-18:00
土9:00-17:00",有
こいけレディスクリニック,092010,栃木県,宇都宮市,36.505318,139.864059,028-688-3588,,３２１－０１３９,栃木県宇都宮市若松原３－１－２,有,"月水金9:00-13:00、15:00-17:00
火木土9:00-13:00",有
もちづき女性クリニック,092010,栃木県,宇都宮市,36.528271,139.862823,028-678-4165,mjcl.jp,３２１－０１６１,栃木県宇都宮市双葉１－２－１,有,"月火木金、9:30-12:30 15:00-18:30
水土9:30-12:30",有
福泉医院,092010,栃木県,宇都宮市,36.540283,139.899338,028-639-1122,,３２１－０９２４,栃木県宇都宮市下栗１－１－１,有,"平日土9:00-12:00、14:30-18:00
木9:00-12:00",有
高橋あきら産婦人科,092010,栃木県,宇都宮市,36.558891,139.919434,028-663-1103,,３２１－０９４１,栃木県宇都宮市東今泉２－２－１６,有,"平日9:00-12:00、14:00-18:00
水午後休診 土9:00-12:00、14:00-16:00",有
かしわぶち産婦人科,092010,栃木県,宇都宮市,36.602661,139.92392,028-663-3715,www.babys-net.com/kasiwabuti,３２１－０９７１,栃木県宇都宮市海道町７０－８,有,平日土曜 8:00-24:00,有
済生会宇都宮病院,092010,栃木県,宇都宮市,36.579189,139.89743,028-626-5500,www.saimiya.com,３２１－０９７４,栃木県宇都宮市竹林町９１１－１,有,平日9:00-17:30,無
ちかざわＬａｄｉｅｓ’クリニック,092010,栃木県,宇都宮市,36.552944,139.901657,028-638-2380,mirai-med.org,３２１－０９８２,栃木県宇都宮市城東１－２－５,有,"月水木金9:00-12:00、 15:00-17:30
火土9:00-12:00",有
ゆめクリニック,092010,栃木県,宇都宮市,36.573151,139.990723,028-611-1881,utsunomiya-yumeclinic.jp,３２１－３２２６,栃木県宇都宮市ゆいの杜３－１４－６,有,平日、休日24時間対応可能,有
栃木産科婦人科医院,092029,栃木県,足利市,36.329414,139.463272,0284-41-3378,,３２６－００４７,栃木県足利市錦町１４番地,有,"平日9:00-12:00、15:00-17:00
木曜土曜9:00-12:00",有
浅岡医院,092029,栃木県,足利市,36.337116,139.461212,0284-41-8188,www.asaokacl.jp,３２６－００５２,栃木県足利市相生町３８７,有,"月～木9:30-12:30、 15:00-18:00
金土9:30-12:30",有
田村レディスクリニック,092029,栃木県,足利市,36.35635,139.4664,0284-43-3006,tamura-ladies.com,３２６－００６７,栃木県足利市江川町３－１３－３,有,"月火木金9:00-12:30 15:00-17:30
水土9:00-12:30",有
かしま産婦人科,092029,栃木県,足利市,36.348579,139.403214,0284-65-0341,www.kashimasanfujinka.jp,３２６－０８４４,栃木県足利市鹿島町５０１－１,有,"平日9:00-11:30、15:00-17:00
土9:00-11:30",有
本庄記念病院,092029,栃木県,足利市,36.319904,139.434875,0284-73-1199,,３２６－０８３１,栃木県足利市堀込町２８５９,有,"平日9:00-18:00 火木を除く
土曜9:00-12:00",有
高田産婦人科医院,092037,栃木県,栃木市,36.374226,139.722748,0282-24-3211,,３２８－００５３,栃木県栃木市片柳町１－１７－３,有,"平日9:00-12:00、15:00-18:00
木 午後 、金 休診",有
おおひらレディスクリニック,092037,栃木県,栃木市,36.35696,139.708633,0282-43-8211,https://ohiraladys.com/,３２９－４４０６,栃木県栃木市大平町下皆川７５３,有,"月水木土、9:00～17:00
火金9:00-13:00",有
丸山レディースクリニック,092045,栃木県,佐野市,36.310375,139.592209,0283-22-0022,,３２７－０８３１,栃木県佐野市浅沼町８０４－３,有,"月火水金、9:00-12:30 16:00-18:30
木土9:00-12:30 日、祝祭日休み",有
岡医院,092045,栃木県,佐野市,36.318623,139.586594,0283-23-9118,www.okasanfujinka.or.jp,３２７－０８４５,栃木県佐野市久保町１１０－１,有,"平日9:00-11:30、14:00-17:30
木9:00-11:30
土9:00-11:30 14:00-16:30",有
城山公園すずきクリニック,092045,栃木県,佐野市,36.318325,139.582596,0283-22-0195,suzuki-obgy.com,３２７－０８４５,栃木県佐野市久保町２６３,有,"平日8:30-12:30、15:00-18:00
木土曜8:30-12:30",有
小林産婦人科医院,092053,栃木県,鹿沼市,36.552784,139.752029,0289-65-7788,kobayashi-sanfujinka-kanuma.com,３２２－００４５,栃木県鹿沼市上殿町８１７－５,有,"月～土午前9:00-12:00
月水金のみ午後15:00-18:00",有
大谷クリニック,092053,栃木県,鹿沼市,36.565277,139.74614,0289-62-2549,www.oya-d.jp/pc/,３２２－００５１,栃木県鹿沼市久保町１６１８,有,"月水木金9:00-12:30、 15:00-18:00
土9:00-12:30",有
