施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
成田赤十字病院,122114,千葉県,成田市,35.765102,140.303391,0476-22-2311,http://www.narita.jrc.or.jp,286-8523,千葉県成田市飯田町９０番地１,有,平日9:00-17:00 土日9:00-17:00,無
社会医療法人社団木下会 千葉西総合病院,122076,千葉県,松戸市,35.804928,139.944901,047-384-8111,www.chibanishi-hp.or.jp,270-2251,千葉県松戸市金ヶ作１０７－１,有,月～木8:00-10:30 金8:00-10:00,有
医療法人SHIODA 塩田記念病院,124265,千葉県,長生郡長柄町,35.455055,140.244888,0475-35-0099,http://www.s-fmc.jp,297-0203,千葉県長生郡長柄町国府里５５０－１,有,"月9:00-11:30 14:00-16:30 火9:00-11:30 水14:30-16:30 木
9:00-11:30 14:00-16:30(第3・5休診) 金 休診 土9:00-11:30",有
千葉県済生会習志野病院,122165,千葉県,習志野市,35.692158,140.046051,047-473-1281,http://www.chiba-saiseikai.com,275-8585,千葉県習志野市泉町１－１－１,有,平日9:00-17:00,有
独立行政法人地域医療機能推進機構 船橋中央病院,122041,千葉県,船橋市,35.705269,139.969284,047-433-2111,https://funabashi.jcho.go.jp/,273-8556,千葉県船橋市海神６丁目１３番１０号,有,平日8:00-11:00(受付時間),無
医療法人財団明理会 行徳総合病院,122033,千葉県,市川市,35.694016,139.918213,047-395-1151,https://gyo-toku.jp/,272-0103,千葉県市川市本行徳５５２５番地２,有,平日8:30-16:30 金曜のみ16:30-翌8:30 土8:30-12:00,有
キッコーマン総合病院,122084,千葉県,野田市,35.953083,139.870926,04-7123-5911,http://hospital.kikkoman.co.jp/,278-0005,千葉県野田市宮崎１００,有,平日8:00-15:00 土8:00-11:00,有
地方独立行政法人 さんむ医療センター,122378,千葉県,山武市,35.601017,140.410736,0475-82-2521,http://www.sanmu-mc.jp/,289-1326,千葉県山武市成東１６７,有,受付 平日8:30-11:30,有
千葉市立海浜病院,121061,千葉県,千葉市美浜区,35.627953,140.051239,043-277-7711,,261-0012,千葉県千葉市美浜区磯辺３－３１－１,有,平日8:30-11:30,有
医療法人社団保健会 谷津保健病院,122165,千葉県,習志野市,35.684921,140.00679,047-451-0026,http://www.yatsu.or.jp/,275-0026,千葉県習志野市谷津４－６－１６,有,平日8:00-17:00 土8:00-12:00,無
医療法人社団吉祥会 加藤病院,122068,千葉県,木更津市,35.40802,139.943405,0438-41-2276,http://kato-hosp.jp/,292-0014,千葉県木更津市高柳２－１２－３１,有,"月・水9:00-12:00 14:30-18:00 木・金・土9:00-12:00
14:30-17:30 日9:00-11:30",有
東京女子医科大学附属八千代医療センター,122211,千葉県,八千代市,35.727715,140.095078,047-450-6000,http://www.twmu.ac.jp/TYMC/index.html,276-8524,千葉県八千代市大和田新田４７７－９６,有,救急診療に準ずる,無
医療法人 巻石堂病院,122173,千葉県,柏市,35.861904,139.975479,04-7166-1131,http://www.hospital.jp/kensekido/access.html,277-0005,千葉県柏市柏３丁目１０番２８号,有,平日9:00-15:30 土9:00-15:30,有
東京ベイ・浦安市川医療センター,122270,千葉県,浦安市,35.671627,139.893219,047-351-3101,https://tokyobay-mc.jp,279-0001,千葉県浦安市当代島３－４－３２,有,常時,有
医療法人社団志仁会 薬丸病院,122068,千葉県,木更津市,35.380783,139.921555,0438-25-0381,http://www.yakumaru.jp,292-0831,千葉県木更津市富士見２－７－１,有,３６５日２４時間,有
医療法人鉄蕉会 亀田総合病院,122238,千葉県,鴨川市,35.120132,140.125504,04-7092-2211,www.kameda.com,296-8602,千葉県鴨川市東町９２９,有,２４時間,有
独立行政法人国立病院機構 千葉医療センター,,千葉県,千葉市,35.622017,140.121582,043-251-5311,https://chiba.hosp.go.jp/,260-8606,千葉県千葉市中央区椿森４－１－２,有,平日8:30-17:15 (平日時間外、土日・祝日は要相談),有
医療法人弘仁会 板倉病院,122041,千葉県,船橋市,35.697659,139.982834,047-431-2662,https://www.itakura.or.jp,273-0005,千葉県船橋市本町２－１０－１,有,平日(月・火・木・金)10:30-17:00,有
医療法人社団翠明会 山王病院,121037,千葉県,千葉市稲毛区,35.666714,140.139252,043-421-2221,http://www.sannou.or.jp/,263-0002,千葉県千葉市稲毛区山王町１６６－２,有,終日,有
最成病院,,千葉県,千葉市,35.689148,140.104141,043-258-1211,https://www.saisei.or.jp,262-8506,千葉県千葉市花見川区柏井町８００－１,有,月・木・金・土 9:30-12:00,有
圭春会 小張総合病院,122084,千葉県,野田市,35.951538,139.878311,04-7124-6666,http://www.kobari.or.jp/,278-8501,千葉県野田市横内２９－１,有,"午前8:15-11:00 (午後は原則予約診療のみ、緊急の場合は要相談)
休診日 月～土曜日の午後、日曜日、祝日",有
川﨑レディースクリニック,122203,千葉県,流山市,35.886448,139.920761,04-7155-3451,kawasaki-ladys.com,270-0114,千葉県流山市東初石４－１３５－３８,有,平日9:00-18:00 土9:00-12:00 (木・日・祝祭日は休診),有
