施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
"学校法人聖路加国際大学 聖
路加国際病院",131024,東京都,中央区,35.667965,139.776779,03-3541-5151,http://hospital.luke.ac.jp/,104-8560,東京都中央区明石町９番１号,有,"女性総合診療部 平日 8：30-17：00
救命救急センター 夜間 17：00-8：30
土・日・祝 0：00-23：59",有
北里大学 北里研究所病院,131032,東京都,港区,35.645351,139.725525,03-3444-6161,http://www.kitasato-u.ac.jp/hokken-hp/,108-8642,東京都港区白金５丁目９番１号,有,"平日 8：30-11：30
土（第4除く） 8：30-11：30",有
"国家公務員共済組合連合会
虎の門病院",131032,東京都,港区,35.669044,139.745483,03-3588-1111,https://www.toranomon.gr.jp,105-8470,東京都港区虎ノ門２－２－２,有,平日 9：00-16：30,有
"独立行政法人地域医療機能推
進機構 東京新宿メディカルセ
ンター",131040,東京都,新宿区,35.703087,139.742325,03-3269-8111,http://www.tkn-hosp.gr.jp,162-8543,東京都新宿区津久戸町５－１,有,"月・木 9：00-16：00
金 11：00-16：00",有
東京医科大学病院,131040,東京都,新宿区,35.694145,139.693008,03-3342-6111,http://hospinfo.tokyo-med.ac.jp/,160-0023,東京都新宿区西新宿６－７－１,有,平日 8：00-11：00,有
"順天堂大学医学部附属順天堂
医院",131059,東京都,文京区,35.701878,139.762177,03-3813-3111,www.juntendo.jp/hospital,113-8431,東京都文京区本郷３－１－３,"有
産科・婦人科","平日 8：00-15：00
土 8：00-11：00",有
"公益財団法人東京都保健医療
公社 荏原病院",131113,東京都,大田区,35.593746,139.692047,03-5734-8000,http://www.ebara-hp.ota.tokyo.jp/,145-0065,東京都大田区東雪谷４－５－１０,有,平日 8：00-12：00 13：00-17：00,有
"独立行政法人労働者健康安全
機構 東京労災病院",131113,東京都,大田区,35.564991,139.747208,03-3742-7301,https://tokyoh.johas.go.jp/,143-0013,東京都大田区大森南４－１３－２１,有,平日 9：00-17：00,有
"医療法人社団九折会 成城木
下病院",131121,東京都,世田谷区,35.641529,139.600189,03-3482-1702,https://kinohosp.com/,157-0066,東京都世田谷区成城６－１３－２０,有,月～土 8：00-11：30 12：00-16：30,有
"社会福祉法人康和会 久我山
病院",131121,東京都,世田谷区,35.681889,139.598663,03-3309-1111,http://www.kugayama-hp.org/,157-0061,東京都世田谷区北烏山２－１４－２０,有,"24時間対応可能（緊急など出来ない場合もある。
受診希望は事前ＴＥＬ）",有
"医療法人財団健貢会 総合東
京病院",131148,東京都,中野区,35.727566,139.664261,03-3387-5421,http://www.tokyo-hospital.com,165-8906,東京都中野区江古田３－１５－２,有,平日・土 9：00-13：00,有
"一般財団法人自警会 東京警
察病院",131148,東京都,中野区,35.709152,139.659378,03-5343-5611,http://www.keisatsubyoin.or.jp/,164-8541,東京都中野区中野四丁目２２番１号,有,平日 8：30-11：30,有
"医療法人財団明理会 明理会
中央総合病院",131172,東京都,北区,35.765137,139.728592,03-5902-1199,https://ims.gr.jp/meirikaichuo/,114-0001,東京都北区東十条３－２－１１,有,平日 8：30-16：30,有
"公益社団法人地域医療振興協
会 東京北医療センター",131172,東京都,北区,35.78389,139.71254,03-5963-3311,https://www.tokyokita-jadecom.jp/,115-0053,東京都北区赤羽台４－１７－５６,有,24時間,有
"医療法人財団逸生会 大橋病
院",131172,東京都,北区,35.775299,139.705643,03-3907-1222,http://o-hp.or.jp/,115-0054,東京都北区桐ケ丘１－２２－１,有,"月・火・木・金 9：00-16：30
土（第2・4） 9：00-11：30",有
